passenger_id,passenger_name,home_airport_code,frequent_flyer_tier
701142,Vikram Verma,PNQ,Platinum
700136,Saanvi Verma 136,COK,Silver
700655,Ved Gupta 655,COK,Silver
700025,Ishaan Bhat,DEL,Silver
700689,Karan Gupta,FRA,Silver
700753,Karan Nair,HKG,Silver
700283,Ved Patel 283,CMB,Silver
701258,Harsh Shetty 1258,CMB,Gold
700582,Sneha Gupta 582,DXB,Silver
700872,Anjali Singh 872,DEL,Platinum
700312,Ishaan Nair,LHR,Gold
700842,Pooja Nair,BLR,Silver
701081,Nisha Shetty,GOI,Silver
701442,Ved Pillai,COK,Gold
700356,Diya Desai,BKK,Gold
700454,Dev Reddy 454,CDG,Platinum
700376,Manish Malhotra,MAA,Platinum
701084,Aman Desai 1084,CDG,Platinum
700401,Rahul Mehta 401,SIN,Silver
700541,Gaurav Nair 541,LHR,Gold
700665,Neha Menon,FRA,Silver
701286,Sneha Kapoor,BOM,Gold
701392,Vivaan Patel,CMB,Silver
701358,Riya Naidu 1358,DXB,Platinum
701339,Aisha Das 1339,BOM,Silver
700082,Siddharth Iyer 82,SIN,Silver
700917,Varun Das,COK,Silver
700475,Harsh Patel,KTM,Gold
700810,Diya Menon,BLR,Silver
701275,Aryan Naidu 1275,BOM,Gold
700760,Ved Desai,COK,Gold
700188,Saanvi Nair,BKK,Silver
700165,Ved Patel,DOH,Gold
700599,Aryan Nair,BKK,Silver
700938,Meera Verma 938,PNQ,Gold
700267,Sneha Rao,COK,Platinum
700883,Aman Shetty 883,SFO,Silver
700030,Riya Joshi,KUL,Platinum
701477,Yash Bhat 1477,KTM,Gold
700024,Kabir Bose,AMD,Platinum
701377,Dev Gupta,DOH,Platinum
700667,Aisha Das 667,HKG,Silver
700231,Nisha Bose,BOM,Silver
700103,Kabir Gupta,AMD,Silver
701125,Priya Pillai,GOI,Gold
700148,Nikhil Nair,MAA,Silver
700978,Aisha Singh 978,DEL,Silver
701314,Ananya Bhat 1314,KUL,Gold
700446,Ananya Mehta 446,COK,Silver
701242,Aisha Naidu 1242,BKK,Gold
700039,Priya Bhat,AMD,Silver
900000,Karan Nair,KUL,Blue
900001,Dev Rao,SFO,Silver
900002,Riya Shetty,KTM,Blue
900003,Kabir Chopra,AUH,Blue
900004,Aditya Sharma,BLR,Blue
900005,Rohan Desai,DEL,Blue
900006,Tara Bose,DEL,Blue
900007,Nikhil Patel,DOH,Blue
900008,Ritu Singh,BOM,Silver
900009,Divya Rao,HKG,Blue
900010,Aarav Gupta,HKG,Blue
900011,Shreya Rao,CMB,Blue
900012,Nisha Menon,LHR,Blue
900013,Ishaan Chopra,HYD,Platinum
900014,Ananya Verma,CMB,Silver
900015,Ved Reddy,FRA,Blue
900016,Aisha Chopra,BOM,Blue
900017,Siddharth Kulkarni,BOM,Blue
900018,Gaurav Sharma,SIN,Blue
900019,Divya Ghosh,JFK,Silver
900020,Aditya Desai,HYD,Silver
900021,Ritu Mehta,PNQ,Silver
900022,Kavya Rao,BKK,Blue
900023,Rohan Ghosh,CCU,Silver
900024,Priya Desai,BOM,Blue
900025,Siddharth Menon,BOM,Gold
900026,Gaurav Mehta,PNQ,Blue
900027,Varun Nair,AMD,Blue
900028,Varun Verma,HYD,Blue
900029,Ishaan Kapoor,PNQ,Platinum
900030,Vivaan Singh,CDG,Blue
900031,Shreya Chopra,KUL,Blue
900032,Rohan Ghosh,DXB,Gold
900033,Rahul Sharma,LHR,Silver
900034,Sana Gupta,SIN,Silver
900035,Harsh Menon,DXB,Silver
900036,Shreya Reddy,DEL,Gold
900037,Diya Das,GOI,Silver
900038,Sana Iyer,KUL,Silver
900039,Nisha Chopra,KUL,Blue
900040,Lakshmi Bose,LHR,Blue
900041,Rahul Chopra,SFO,Blue
900042,Yash Ghosh,JFK,Blue
900043,Lakshmi Mehta,DXB,Blue
900044,Priya Ghosh,CMB,Blue
900045,Nisha Reddy,MAA,Silver
900046,Harsh Reddy,BOM,Blue
900047,Varun Iyer,MAA,Blue
900048,Anjali Patel,COK,Blue
900049,Ved Naidu,HKG,Blue
